                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2882,                 3.7743,                 2.9348,                 1.6663,                 0.5004,                0.14706,                0.24728,                0.09399,                0.41288,                0.11765,                0.20008,                0.08376,                 1.6699,                 4.4481,                 3.1388,                 2.1329,             0.00045009,             0.00045009,             0.00045009
                      2,                 1.0074,                 2.3118,                 2.0527,                 1.4264,                0.37819,                0.39706,                0.21155,                0.12127,                0.35485,                0.32353,                0.20643,                 0.0844,                 1.5822,                 2.8667,                 2.8022,                 2.1427,             0.00061429,             0.00061429,             0.00061429
                      3,                0.96685,                  2.119,                 1.8401,                 1.4115,                0.47866,                0.45588,                 0.3902,                0.23589,                0.49963,                0.45588,                0.39432,                0.25964,                 1.3472,                 2.3405,                 2.3879,                 1.6917,             0.00047043,             0.00047043,             0.00047043
